dataset,bin_start,bin_end,count
C3VD,0.000000,0.005000,14689229
C3VD,0.005000,0.010000,210978610
C3VD,0.010000,0.015000,297456302
C3VD,0.015000,0.020000,278429396
C3VD,0.020000,0.025000,227549139
C3VD,0.025000,0.030000,178033093
C3VD,0.030000,0.035000,142930324
C3VD,0.035000,0.040000,123288093
C3VD,0.040000,0.045000,98882467
C3VD,0.045000,0.050000,88224030
C3VD,0.050000,0.055000,76294272
C3VD,0.055000,0.060000,67977437
C3VD,0.060000,0.065000,52554957
C3VD,0.065000,0.070000,35611959
C3VD,0.070000,0.075000,32634403
C3VD,0.075000,0.080000,29685191
C3VD,0.080000,0.085000,17030273
C3VD,0.085000,0.090000,9328561
C3VD,0.090000,0.095000,6671903
C3VD,0.095000,0.100000,1604871
C3VD,0.100000,0.105000,5137316
C3VDv2,0.000000,0.005000,49328443
C3VDv2,0.005000,0.010000,935800785
C3VDv2,0.010000,0.015000,2057960214
C3VDv2,0.015000,0.020000,2034660649
C3VDv2,0.020000,0.025000,1740604260
C3VDv2,0.025000,0.030000,1315507374
C3VDv2,0.030000,0.035000,1028767255
C3VDv2,0.035000,0.040000,820791711
C3VDv2,0.040000,0.045000,646168532
C3VDv2,0.045000,0.050000,516927049
C3VDv2,0.050000,0.055000,430367391
C3VDv2,0.055000,0.060000,366439969
C3VDv2,0.060000,0.065000,284590438
C3VDv2,0.065000,0.070000,221028569
C3VDv2,0.070000,0.075000,175672615
C3VDv2,0.075000,0.080000,145395582
C3VDv2,0.080000,0.085000,110598658
C3VDv2,0.085000,0.090000,91010336
C3VDv2,0.090000,0.095000,75075842
C3VDv2,0.095000,0.100000,61192654
C3VDv2,0.100000,0.105000,236252995
EndoMapper,0.000000,0.005000,1250
EndoMapper,0.005000,0.010000,1166812
EndoMapper,0.010000,0.015000,7164549
EndoMapper,0.015000,0.020000,23831674
EndoMapper,0.020000,0.025000,45987679
EndoMapper,0.025000,0.030000,53780209
EndoMapper,0.030000,0.035000,62654283
EndoMapper,0.035000,0.040000,36803674
EndoMapper,0.040000,0.045000,37554719
EndoMapper,0.045000,0.050000,28756423
EndoMapper,0.050000,0.055000,15699261
EndoMapper,0.055000,0.060000,14892725
EndoMapper,0.060000,0.065000,13270535
EndoMapper,0.065000,0.070000,7162645
EndoMapper,0.070000,0.075000,9720454
EndoMapper,0.075000,0.080000,4314757
EndoMapper,0.080000,0.085000,4255510
EndoMapper,0.085000,0.090000,3264856
EndoMapper,0.090000,0.095000,2862588
EndoMapper,0.095000,0.100000,2351864
EndoMapper,0.100000,0.105000,2164440
EndoMapper,0.105000,0.110000,1508475
EndoMapper,0.110000,0.115000,1147142
EndoMapper,0.115000,0.120000,1151217
EndoMapper,0.120000,0.125000,1218875
EndoMapper,0.125000,0.130000,32123
EndoMapper,0.130000,0.135000,699466
EndoMapper,0.135000,0.140000,690073
EndoMapper,0.140000,0.145000,20239
EndoMapper,0.145000,0.150000,521511
EndoMapper,0.150000,0.155000,430066
EndoMapper,0.155000,0.160000,6394
EndoMapper,0.160000,0.165000,310852
EndoMapper,0.165000,0.170000,6158
EndoMapper,0.170000,0.175000,282485
EndoMapper,0.175000,0.180000,327
EndoMapper,0.180000,0.185000,1986
EndoNeRF,0.000000,0.005000,106441
EndoNeRF,0.010000,0.015000,198
EndoNeRF,0.015000,0.020000,43
